"","Year","Area","Street","Street.2"
"314",2011,"","LONGFORD ROAD",""
"315",2011,"","Longford Rd. Kingstanding B Ham",""
"316",2011,"","Lower Parade",""
"317",2011,"","LOWER PARADE",""
"318",2011,"","Lower Parade",""
"319",2011,"","Lower Parade",""
"320",2011,"","Lower Parade",""
"321",2011,"","Lower Parade",""
"322",2011,"","LOWER PARADE",""
"323",2011,"","Lower Parade",""
"324",2011,"","Lower Parade",""
"325",2011,"","LOWER PARADE",""
"326",2011,"","Lower Parade",""
"327",2011,"","LOWER PARADE",""
"328",2011,"","Lower Parade",""
"329",2011,"","LOWER PARADE",""
"330",2011,"","LOWER PARADE",""
"331",2011,"","Lower Parade",""
"332",2011,"","Lower Parade",""
"333",2011,"","Lower Parade",""
"334",2011,"","LOWER PARADE",""
"335",2011,"","Lower Parade SC",""
"336",2011,"","LOWER PARADE SUTTON",""
"337",2011,"","Lower Parade Sutton Coldfield",""
"338",2011,"","Lower Parade",""
"339",2011,"","Lower Parade Suton Coldfield",""
"340",2011,"","Lower Parade Sutton Coldfield",""
"341",2011,"","Lower Parade Sutton Coldfield",""
"342",2011,"","Lower Parade Sutton Coldfield",""
"343",2011,"","Lower Parade Sutton Coldfield",""
"344",2011,"","Lower Parade Sutton Coldfield",""
"345",2011,"","Lower Parade Sutton Coldfield",""
"346",2011,"","Lower Parade Sutton Coldfield",""
"347",2011,"","Lower Parade Sutton Coldfield",""
"348",2011,"","Lower Parade Sutton Coldfield",""
"349",2011,"","Lower Parade Sutton Coldfield",""
"350",2011,"","Lower Parade Sutton Coldfield",""
"351",2011,"","Lower Parade Sutton Coldfield",""
"352",2011,"","Lower Parade Sutton Coldfield",""
"353",2011,"","Lower Parade Sutton Coldfield",""
"354",2011,"","Lower Parade Sutton Coldfield",""
"355",2011,"","Lower Parade Sutton Coldfield Town Centre",""
"356",2011,"","Lower Parade Sutton Coldfield Town Centre",""
"357",2011,"","Lower Parade Sutton Coldfield",""
"358",2011,"","Lydham Close",""
"359",2011,"","Mill Str.",""
"360",2011,"","Mill Str. Sutton Coldfield",""
"361",2011,"","Moor Hall Hotel",""
"362",2011,"","Mulberry Court Carpark Kings Rd. Kingstanding Birmingham",""
"363",2011,"","Newhall Walk Car Pk.",""
"364",2011,"","Newhall Walk Car Pk.",""
"365",2011,"","O S H A",""
"366",2011,"","O S Litten Tree",""
"367",2011,"","O S Litten Tree S C Town Centre",""
"368",2011,"","O S MooMoo Bar S C Town Centre",""
"369",2011,"","O S Moomoo Bar South Parade",""
"370",2011,"","O S Retro",""
"371",2011,"","O S Retro South Parade",""
"372",2011,"","O S Retros",""
"373",2011,"","O S Royal Hotel Lichfield Rd.",""
"374",2011,"","O S Temple Bar",""
"375",2011,"","O S Temple Bar",""
"376",2011,"","O S Temple Bar High Str.",""
"377",2011,"","O S Temple Bar Lower Parade Sutton Coldfield",""
"378",2011,"","O S Temple Bar S C Town Centre",""
"379",2011,"","O S Temple Bar Sutton Coldfield West Milands",""
"380",2011,"","O S The Hairy Lemon",""
"381",2011,"","On Pavement Outside The Royal Hotel",""
"382",2011,"","Ourtside Royal Pub Lichfield Rd. Sutton Coldfield",""
"383",2011,"","Outside Glendale Tower Lyndhurst Estate",""
"384",2011,"","Outside Litten Tree Pub Birmingham Rd. Sutton Coldfield",""
"385",2011,"","Outside Moo Moo Club Town Centre Sutton Coldfield",""
"386",2011,"","Outside Moo Moo Night Club South Parade",""
"387",2011,"","Outside Temple Parade Lower Parade",""
"388",2011,"","Outside The Temple Bar Lower Parade SC",""
"389",2011,"","PARADE SUTTON COLDFIELD",""
"390",2011,"","Parade SC",""
"391",2011,"","Parade Sutton Coldfield",""
"392",2011,"","Parade Sutton Coldfield",""
"393",2011,"","PARADE SUTTON COLDFIELD",""
"394",2011,"","Parade Sutton Town",""
"395",2011,"","Parade Sutton Coldfield",""
"396",2011,"","Parade Sutton Coldfield",""
"397",2011,"","Parade Sutton Town Centre",""
"398",2011,"","Parkeston Crescent Kinsgatnding B Ham",""
"399",2011,"","PLANTS GROVE ERDINGTON",""
"400",2011,"","Pype Hayes Rd. Pype Hayes B Ham",""
"401",2011,"","Pype Hayes Rd. Pype Hayes B Ham",""
